Number;ident;Latitude;Longitude;y_proj;x_proj;comment;Date;ltime
142;142;-7.529666667;-34.96211111;-7.529666667;-34.96211111;;25/05/2021;09:36
143;143;-7.530138889;-34.96177778;-7.530138889;-34.96177778;;25/05/2021;09:57
144;144;-7.530638889;-34.96258333;-7.530638889;-34.96258333;;25/05/2021;10:44
145;145;-7.530777778;-34.96177778;-7.530777778;-34.96177778;;25/05/2021;10:54
146;146;-7.5205;-34.96297222;-7.5205;-34.96297222;;25/05/2021;11:23
147;147;-7.520055556;-34.9625;-7.520055556;-34.9625;;25/05/2021;11:51
148;148;-7.520194444;-34.96247222;-7.520194444;-34.96247222;;25/05/2021;12:03
149;149;-7.520194444;-34.96227778;-7.520194444;-34.96227778;;25/05/2021;12:20
150;150;-7.523805556;-34.96252778;-7.523805556;-34.96252778;;25/05/2021;12:26
151;151;-7.524277778;-34.96266667;-7.524277778;-34.96266667;;25/05/2021;12:43
152;152;-7.525138889;-34.96283333;-7.525138889;-34.96283333;;25/05/2021;12:56
153;153;-7.526194444;-34.96175;-7.526194444;-34.96175;;25/05/2021;13:11
154;154;-7.526361111;-34.96152778;-7.526361111;-34.96152778;;25/05/2021;13:39
155;155;-7.526611111;-34.96183333;-7.526611111;-34.96183333;;25/05/2021;13:56
156;156;-7.527111111;-34.96219444;-7.527111111;-34.96219444;;25/05/2021;14:12
157;157;-7.531333333;-34.95963889;-7.531333333;-34.95963889;;25/05/2021;14:32
158;158;-7.531361111;-34.95952778;-7.531361111;-34.95952778;;25/05/2021;14:53
159;159;-7.530833333;-34.95941667;-7.530833333;-34.95941667;;27/05/2021;09:24
160;160;-7.530916667;-34.95936111;-7.530916667;-34.95936111;;27/05/2021;09:37
161;161;-7.517194444;-34.96761111;-7.517194444;-34.96761111;;27/05/2021;09:55
162;162;-7.517611111;-34.96705556;-7.517611111;-34.96705556;;27/05/2021;10:32
163;163;-7.51775;-34.96705556;-7.51775;-34.96705556;;27/05/2021;11:14
164;164;-7.518222222;-34.96594444;-7.518222222;-34.96594444;;27/05/2021;11:24
165;165;-7.518611111;-34.96583333;-7.518611111;-34.96583333;;27/05/2021;11:50
166;166;-7.532;-34.96080556;-7.532;-34.96080556;;27/05/2021;12:24
167;167;-7.532083333;-34.96080556;-7.532083333;-34.96080556;;27/05/2021;12:45
168;168;-7.531861111;-34.96113889;-7.531861111;-34.96113889;;27/05/2021;13:27
169;169;-7.531944444;-34.96136111;-7.531944444;-34.96136111;;27/05/2021;13:40
170;170;-7.520111111;-34.96230556;-7.520111111;-34.96230556;;12/06/2021;15:15
171;171;-7.519944444;-34.96225;-7.519944444;-34.96225;;12/06/2021;15:23
172;172;-7.520222222;-34.96233333;-7.520222222;-34.96233333;;12/06/2021;15:46
173;173;-7.52;-34.96227778;-7.52;-34.96227778;;12/06/2021;16:09
174;174;-7.520111111;-34.96225;-7.520111111;-34.96225;;13/06/2021;09:15
175;175;-7.519916667;-34.96211111;-7.519916667;-34.96211111;;13/06/2021;09:33
176;176;-7.519777778;-34.96227778;-7.519777778;-34.96227778;;13/06/2021;09:36
177;177;-7.520527778;-34.96477778;-7.520527778;-34.96477778;;13/06/2021;10:02
178;178;-7.520416667;-34.96475;-7.520416667;-34.96475;;13/06/2021;10:36
179;179;-7.520361111;-34.96475;-7.520361111;-34.96475;;13/06/2021;14:21
180;180;-7.520388889;-34.96494444;-7.520388889;-34.96494444;;13/06/2021;14:40
181;181;-7.5205;-34.96555556;-7.5205;-34.96555556;;13/06/2021;14:53
182;182;-7.52075;-34.96569444;-7.52075;-34.96569444;;13/06/2021;15:08
183;183;-7.522055556;-34.96511111;-7.522055556;-34.96511111;;17/06/2021;08:15
184;184;-7.523277778;-34.96447222;-7.523277778;-34.96447222;;17/06/2021;08:25
185;185;-7.523333333;-34.96438889;-7.523333333;-34.96438889;;17/06/2021;08:34
186;186;-7.52375;-34.96461111;-7.52375;-34.96461111;;17/06/2021;08:45
187;187;-7.524083333;-34.96416667;-7.524083333;-34.96416667;;17/06/2021;08:58
188;188;-7.525472222;-34.964;-7.525472222;-34.964;;17/06/2021;09:13
189;189;-7.520194444;-34.96377778;-7.520194444;-34.96377778;;17/06/2021;09:21
190;190;-7.520472222;-34.96341667;-7.520472222;-34.96341667;;17/06/2021;09:42
191;191;-7.5205;-34.96336111;-7.5205;-34.96336111;;17/06/2021;09:46
192;192;-7.519861111;-34.96291667;-7.519861111;-34.96291667;;17/06/2021;09:50
193;193;-7.519833333;-34.96255556;-7.519833333;-34.96255556;;17/06/2021;10:14
194;194;-7.519805556;-34.96233333;-7.519805556;-34.96233333;;17/06/2021;10:41
195;195;-7.519833333;-34.96211111;-7.519833333;-34.96211111;;17/06/2021;10:47
196;196;-7.519833333;-34.96205556;-7.519833333;-34.96205556;;17/06/2021;10:58
197;197;-7.52075;-34.96191667;-7.52075;-34.96191667;;17/06/2021;11:16
198;198;-7.522027778;-34.96236111;-7.522027778;-34.96236111;;17/06/2021;11:19
199;199;-7.523083333;-34.96369444;-7.523083333;-34.96369444;;17/06/2021;11:31
200;200;-7.523638889;-34.96425;-7.523638889;-34.96425;;17/06/2021;11:45
201;201;-7.524;-34.96397222;-7.524;-34.96397222;;17/06/2021;12:06
202;202;-7.524861111;-34.96397222;-7.524861111;-34.96397222;;19/06/2021;09:23
203;203;-7.528111111;-34.96208333;-7.528111111;-34.96208333;;19/06/2021;09:31
204;204;-7.528416667;-34.96233333;-7.528416667;-34.96233333;;19/06/2021;09:41
205;205;-7.528805556;-34.9625;-7.528805556;-34.9625;;19/06/2021;10:22
206;206;-7.518361111;-34.96647222;-7.518361111;-34.96647222;;19/06/2021;10:46
207;207;-7.518277778;-34.96638889;-7.518277778;-34.96638889;;19/06/2021;10:51
208;208;-7.518111111;-34.96686111;-7.518111111;-34.96686111;;19/06/2021;11:00
209;209;-7.518138889;-34.967;-7.518138889;-34.967;;19/06/2021;11:18
210;210;-7.518277778;-34.96702778;-7.518277778;-34.96702778;;19/06/2021;11:40
211;211;-7.526638889;-34.96363889;-7.526638889;-34.96363889;;19/06/2021;12:05
212;212;-7.527166667;-34.96333333;-7.527166667;-34.96333333;;19/06/2021;12:25
213;213;-7.517972222;-34.96702778;-7.517972222;-34.96702778;;19/06/2021;12:35
214;214;-7.517777778;-34.96705556;-7.517777778;-34.96705556;;19/06/2021;12:41
215;215;-7.518083333;-34.96697222;-7.518083333;-34.96697222;;19/06/2021;12:53
216;216;-7.516813889;-34.96691667;-7.516813889;-34.96691667;;19/06/2021;14:27
217;217;-7.518361111;-34.96686111;-7.518361111;-34.96686111;;19/06/2021;14:37
218;218;-7.518777778;-34.966;-7.518777778;-34.966;;19/06/2021;14:49
219;219;-7.518138889;-34.96588889;-7.518138889;-34.96588889;;21/06/2021;10:08
220;220;-7.518583333;-34.96622222;-7.518583333;-34.96622222;;21/06/2021;10:32
221;221;-7.518055556;-34.96702778;-7.518055556;-34.96702778;;21/06/2021;10:34
222;222;-7.520555556;-34.9645;-7.520555556;-34.9645;;21/06/2021;10:44
223;223;-7.520666667;-34.96436111;-7.520666667;-34.96436111;;21/06/2021;11:04
224;224;-7.520638889;-34.96447222;-7.520638889;-34.96447222;;21/06/2021;11:26
225;225;-7.5205;-34.96438889;-7.5205;-34.96438889;;21/06/2021;14:47
226;226;-7.520583333;-34.96444444;-7.520583333;-34.96444444;;21/06/2021;14:58
227;227;-7.520277778;-34.96491667;-7.520277778;-34.96491667;;22/06/2021;09:41
228;228;-7.520305556;-34.96477778;-7.520305556;-34.96477778;;22/06/2021;10:05
229;229;-7.520194444;-34.96491667;-7.520194444;-34.96491667;;22/06/2021;10:20
230;230;-7.520027778;-34.96502778;-7.520027778;-34.96502778;;22/06/2021;10:35
231;231;-7.520027778;-34.96502778;-7.520027778;-34.96502778;;22/06/2021;10:51
232;232;-7.520305556;-34.96488889;-7.520305556;-34.96488889;;22/06/2021;11:22
233;233;-7.520361111;-34.96497222;-7.520361111;-34.96497222;;22/06/2021;12:14
234;234;-7.520333333;-34.965;-7.520333333;-34.965;;22/06/2021;13:00
235;235;-7.520472222;-34.96505556;-7.520472222;-34.96505556;;22/06/2021;13:17
236;236;-7.521694444;-34.96513889;-7.521694444;-34.96513889;;26/06/2021;08:41
237;237;-7.521777778;-34.96513889;-7.521777778;-34.96513889;;26/06/2021;09:06
238;238;-7.522583333;-34.96502778;-7.522583333;-34.96502778;;26/06/2021;09:10
239;239;-7.523111111;-34.9645;-7.523111111;-34.9645;;26/06/2021;09:19
240;240;-7.523611111;-34.96458333;-7.523611111;-34.96458333;;26/06/2021;09:31
241;241;-7.524083333;-34.96408333;-7.524083333;-34.96408333;;26/06/2021;09:46
242;242;-7.524222222;-34.964;-7.524222222;-34.964;;26/06/2021;09:56
243;243;-7.524833333;-34.96358333;-7.524833333;-34.96358333;;26/06/2021;10:06
244;244;-7.525583333;-34.96338889;-7.525583333;-34.96338889;;26/06/2021;10:22
245;245;-7.517472222;-34.96763889;-7.517472222;-34.96763889;;26/06/2021;10:26
246;246;-7.518722222;-34.96558333;-7.518722222;-34.96558333;;26/06/2021;10:45
247;247;-7.520694444;-34.96180556;-7.520694444;-34.96180556;;26/06/2021;10:53
248;248;-7.520888889;-34.96141667;-7.520888889;-34.96141667;;26/06/2021;11:04
249;249;-7.520944444;-34.96169444;-7.520944444;-34.96169444;;26/06/2021;11:14
250;250;-7.522694444;-34.96277778;-7.522694444;-34.96277778;;26/06/2021;11:35
251;251;-7.522722222;-34.96288889;-7.522722222;-34.96288889;;26/06/2021;11:39
252;252;-7.520083333;-34.96183333;-7.520083333;-34.96183333;;26/06/2021;11:49
253;253;-7.519527778;-34.96555556;-7.519527778;-34.96555556;;26/06/2021;12:08
254;254;-7.5195;-34.96577778;-7.5195;-34.96577778;;26/06/2021;12:18
255;255;-7.519444444;-34.96611111;-7.519444444;-34.96611111;;26/06/2021;12:36
256;256;-7.519222222;-34.96602778;-7.519222222;-34.96602778;;26/06/2021;12:49
257;257;-7.518972222;-34.96647222;-7.518972222;-34.96647222;;26/06/2021;12:56
258;258;-7.518555556;-34.96622222;-7.518555556;-34.96622222;;26/06/2021;13:07
259;259;-7.518138889;-34.96763889;-7.518138889;-34.96763889;;29/06/2021;09:07
260;260;-7.518083333;-34.96772222;-7.518083333;-34.96772222;;29/06/2021;10:07
261;261;-7.517972222;-34.96769444;-7.517972222;-34.96769444;;29/06/2021;10:39
262;262;-7.517222222;-34.96783333;-7.517222222;-34.96783333;;29/06/2021;11:48
263;263;-7.517138889;-34.96752778;-7.517138889;-34.96752778;;29/06/2021;12:10
264;264;-7.517305556;-34.96725;-7.517305556;-34.96725;;29/06/2021;12:54
